Lisa,496978
Mary,355230
Susan,287651
Karen,286051
Kimberly,259085
Patricia,231158
Linda,225430
Donna,213458
Michelle,208289
Cynthia,196608
Sandra,183839
Deborah,183430
Tammy,182214
Pamela,181935
Lori,176554
Laura,174178
Elizabeth,168908
Julie,166144
Brenda,164494
Jennifer,164407
Barbara,159758
Angela,159272
Sharon,154896
Debra,153767
Teresa,151781
Nancy,142721
Christine,139330
Cheryl,135643
Denise,128820
Kelly,128059
Tina,126395
Kathleen,120950
Melissa,119204
Robin,118321
Amy,116783
Diane,114446
Dawn,114293
Carol,112331
Tracy,103782
Kathy,101121
Rebecca,99461
Theresa,97115
Kim,94387
Rhonda,93605
Stephanie,92820
Cindy,91590
Janet,89315
Wendy,88963
Maria,88807
Michele,86992
Jacqueline,84388
Debbie,84206
Margaret,81865
Paula,80511
Sherry,77521
Catherine,76785
Carolyn,75259
Laurie,74449
Sheila,74074
Ann,72077
Jill,69144
Connie,65286
Diana,65037
Terri,63737
Suzanne,59759
Andrea,58406
Beth,58384
Janice,57967
Valerie,56586
Renee,55813
Leslie,54458
Christina,52784
Gina,52369
Lynn,51929
Annette,51914
Cathy,51624
Katherine,50620
Judy,50327
Carla,47900
Wanda,47772
Anne,47765
Dana,47699
Joyce,46122
Regina,45825
Beverly,45241
Monica,45187
Bonnie,45085
Kathryn,44866
Anita,44406
Sarah,43912
Darlene,43529
Jane,43333
Sherri,41630
Martha,41035
Anna,40917
Colleen,40672
Vicki,40510
Tracey,40287
Judith,39777
Tamara,39007
Gloria,38588
Betty,38394
Stacey,38264
Penny,38218
Shirley,38072
Victoria,37733
Jean,37282
Peggy,37035
Melanie,36752
Joan,36673
Melinda,36296
Shelly,35658
Stacy,35527
Virginia,35343
Marie,34808
Maureen,34445
Ruth,34185
Julia,34183
Ellen,34142
Tonya,34072
Shannon,33851
Heidi,33744
Joanne,33359
Dorothy,33007
Rita,32878
Gail,32871
Heather,32706
Deanna,32268
Holly,32143
Rose,31859
Vickie,31762
Carrie,31170
Veronica,30034
Yvonne,29959
Becky,29599
Helen,29098
Sylvia,28614
Yolanda,28440
April,28304
Terry,27634
Elaine,27464
Sheri,27328
Marilyn,27002
Alice,26954
Jodi,26875
Rachel,26796
Sheryl,26059
Jackie,25894
Phyllis,25698
Jamie,25697
Frances,25001
Crystal,24973
Joann,24876
Eileen,24869
Shelley,24856
Toni,24839
Charlene,24622
Kristin,24353
Sally,24345
Charlotte,24234
Kristine,24125
Jeanne,23544
Sara,23043
Tanya,23028
Belinda,22945
Carmen,22878
Sandy,22712
Evelyn,22579
Alicia,22422
Sonya,22292
Lorraine,22249
Jeanette,22086
Yvette,22085
Loretta,22070
Joy,21757
Sue,21603
Norma,21514
Roberta,21099
Vanessa,20984
Shari,20517
Jo,20197
Natalie,19567
Tammie,19345
Traci,18703
Gwendolyn,18636
Nicole,18567
Felicia,18551
Melody,18471
Tami,18444
Shelia,18443
Marcia,18425
Doris,18191
Kristen,18042
Audrey,17868
Karla,17716
Jody,17670
Glenda,17589
Patty,17520
Amanda,17174
Pam,17109
Juanita,16969
