Emma,194836
Olivia,184355
Sophia,180953
Isabella,170337
Ava,155690
Mia,128931
Abigail,118572
Emily,117518
Charlotte,102382
Madison,98321
Elizabeth,93919
Amelia,93717
Evelyn,86902
Ella,85831
Chloe,85195
Harper,85111
Avery,82860
Sofia,82337
Grace,72937
Addison,70942
Victoria,70929
Lily,68212
Natalie,68061
Aubrey,65848
Lillian,64885
Zoey,64846
Hannah,64409
Layla,63117
Brooklyn,60238
Scarlett,58220
Zoe,58047
Camila,57864
Samantha,56885
Riley,56082
Leah,55964
Aria,52189
Savannah,51769
Audrey,51576
Anna,51213
Allison,48961
Gabriella,48059
Claire,47706
Hailey,47696
Penelope,47570
Aaliyah,46627
Sarah,46572
Nevaeh,44868
Kaylee,44550
Stella,44177
Mila,44081
Nora,44051
Ellie,43184
Bella,43088
Lucy,41983
Alexa,41977
Arianna,41742
Violet,41514
Ariana,41289
Genesis,40478
Alexis,40339
Eleanor,40098
Maya,39724
Caroline,39601
Peyton,39582
Skylar,39359
Madelyn,39174
Serenity,38782
Kennedy,38557
Taylor,38181
Alyssa,37882
Autumn,37623
Paisley,37518
Ashley,37204
Brianna,36869
Sadie,36528
Naomi,36131
Kylie,36066
Julia,35873
Sophie,35642
Mackenzie,35245
Eva,35173
Gianna,34629
Luna,34133
Katherine,34112
Hazel,33869
Khloe,33774
Ruby,33414
Melanie,33057
Piper,33051
Lydia,32678
Aubree,32604
Madeline,32348
Aurora,32081
Faith,31907
Alexandra,30943
Alice,30602
Kayla,30254
Jasmine,29328
Maria,28930
Annabelle,28914
Lauren,28889
Reagan,28834
Elena,28771
Rylee,28521
Isabelle,28484
Bailey,28261
Eliana,28200
Sydney,28067
Makayla,27829
Cora,27793
Morgan,27619
Natalia,27356
Kimberly,27240
Vivian,27215
Quinn,27206
Valentina,27200
Andrea,27169
Willow,26999
Clara,26633
London,26595
Jade,26513
Liliana,26402
Jocelyn,26334
Trinity,26274
Kinsley,26267
Brielle,26025
Mary,25617
Molly,25538
Hadley,25464
Delilah,24963
Emilia,24322
Josephine,23926
Brooke,23790
Ivy,23439
Lilly,23438
Adeline,23357
Payton,23105
Lyla,22903
Isla,22855
Jordyn,22718
Paige,22598
Isabel,22563
Mariah,22442
Mya,22336
Nicole,22284
Valeria,21382
Everly,21220
Destiny,21056
Rachel,21028
Ximena,21015
Emery,20948
Sara,20699
Angelina,20555
Adalynn,20368
Kendall,20239
Reese,20174
Aliyah,20134
Margaret,20015
Juliana,19986
Melody,19830
Amy,19747
Eden,19688
Mckenzie,19649
Laila,19639
Vanessa,19579
Ariel,19324
Gracie,19047
Valerie,19003
Adalyn,18823
Brooklynn,18796
Gabrielle,18569
Kaitlyn,18341
Athena,18257
Elise,18238
Jessica,18200
Adriana,18166
Leilani,18124
Nova,18001
Ryleigh,17859
Daisy,17846
Norah,17735
Eliza,17699
Rose,17466
Rebecca,17451
Michelle,17340
Alaina,17280
Catherine,17132
Londyn,16979
Summer,16866
Lila,16551
Jayla,16521
Katelyn,16498
Daniela,16343
Harmony,16259
Alana,16236
Amaya,16236
Emerson,16220
Julianna,16171
Cecilia,16130
Izabella,16016
Makenzie,15975
Esther,15906
Stephanie,15825
Raelynn,15761
Genevieve,15620
Alina,15586
Hayden,15577
Callie,15482
Angela,15470
Alivia,15444
