Mary,625597
Linda,564345
Patricia,459658
Susan,437764
Deborah,430533
Barbara,345716
Debra,341340
Karen,332511
Nancy,286802
Donna,270334
Cynthia,263416
Sandra,251588
Pamela,237387
Sharon,232798
Kathleen,224334
Carol,222649
Diane,210624
Brenda,209238
Cheryl,171386
Janet,167515
Elizabeth,165658
Kathy,157932
Margaret,149577
Janice,133614
Carolyn,124070
Denise,123773
Judy,118054
Rebecca,115689
Joyce,114978
Teresa,114278
Christine,113337
Catherine,108836
Shirley,108809
Judith,108755
Betty,103203
Beverly,97785
Lisa,95818
Laura,95522
Theresa,89602
Connie,88804
Ann,87042
Gloria,86706
Julie,86695
Gail,85615
Joan,85169
Paula,84869
Peggy,84289
Cindy,83976
Martha,83185
Bonnie,83010
Jane,82921
Cathy,82718
Robin,82424
Debbie,82098
Diana,80230
Marilyn,80157
Kathryn,77802
Dorothy,74476
Wanda,72446
Jean,72262
Vicki,71976
Sheila,70169
Virginia,69783
Sherry,68324
Katherine,66851
Rose,66696
Lynn,66047
Jo,63946
Ruth,62530
Maria,62447
Darlene,61881
Jacqueline,60460
Rita,60268
Rhonda,59815
Phyllis,57771
Helen,57572
Vickie,56856
Kim,56079
Lori,56071
Ellen,55384
Elaine,54231
Joanne,53565
Anne,52396
Valerie,52233
Alice,52071
Frances,51198
Suzanne,50328
Marie,49262
Victoria,49125
Kimberly,48952
Anita,47592
Laurie,46960
Michelle,46781
Sally,46705
Terri,46431
Marcia,43733
Terry,43193
Jennifer,43071
Leslie,43046
Doris,42897
Maureen,42810
Wendy,42671
Michele,41971
Anna,41702
Marsha,41554
Angela,40356
Sarah,39966
Sylvia,39535
Jill,39058
Dawn,38899
Sue,38853
Evelyn,38407
Roberta,37915
Jeanne,37668
Charlotte,36999
Eileen,36564
Lois,36201
Colleen,35912
Stephanie,35557
Annette,35343
Glenda,35227
Yvonne,35040
Dianne,34489
Tina,33990
Beth,33984
Lorraine,33588
Constance,33527
Renee,32950
Charlene,32717
Joann,32671
Julia,32452
Gwendolyn,31943
Norma,30801
Regina,30795
Amy,30581
Loretta,30393
Sheryl,30382
Carla,29431
Andrea,29375
Tammy,29180
Irene,26972
Jan,26166
Louise,25852
Juanita,25651
Marlene,25249
Penny,25125
Rosemary,25014
Becky,24837
Kay,24643
Joy,24517
Geraldine,24223
Jeanette,23984
Gayle,23730
Annie,23677
Vivian,23554
Claudia,23148
Lynda,22689
Melissa,22293
Audrey,22221
Lynne,22195
Patsy,21733
Melinda,21509
Vicky,21331
Toni,21306
June,21102
Belinda,20942
Marjorie,20940
Arlene,20653
Patti,20603
Ruby,20549
Sara,20491
Yolanda,19945
Rosa,19878
Melanie,19851
Christina,19845
Delores,19361
Jackie,19304
Vanessa,19169
Carmen,18951
Monica,18719
Janis,18674
Holly,18636
Marianne,18478
Dolores,18307
Shelley,18226
Veronica,17621
Mildred,17573
Eva,17111
Dana,17104
Rachel,16776
Shelia,16754
Roxanne,16607
Carole,16533
Lillian,16509
Josephine,16410
Carrie,16180
Patty,16108
Sherri,16103
Doreen,16088
Grace,15926
Esther,15764
Melody,15524
Edith,15480
Edna,15418
Kelly,15359
Marian,15338
Georgia,15057
Dianna,14973
Debora,14916
Paulette,14885
Jacquelyn,14821
Ramona,14652
Janie,14615
Lydia,14612
Emma,14612
Pauline,14435
Candace,14252
Priscilla,14241
Gina,13983
Lee,13862
Margie,13673
Lucy,13644
Jody,13276
Tamara,13089
Emily,12840
Nina,12798
Clara,12767
Bobbie,12684
Wilma,12279
Maryann,12232
Sandy,12190
Gladys,12181
Bonita,12076
Kristine,12075
Lucille,12050
Marion,11882
Teri,11834
Thelma,11770
Billie,11638
Ethel,11546
Nora,11538
Karla,11463
Marla,11440
Tracy,11359
Deanna,11259
Bertha,11250
Pam,11236
Mona,11180
Eleanor,11065
Vera,11042
Ella,11037
Sheri,10974
Bernice,10830
Beatrice,10741
Bernadette,10699
Florence,10599
Betsy,10562
Faye,10426
Sherrie,10383
Myra,10379
Susie,10294
Patrice,10279
Claire,10262
Heidi,10217
Francine,10202
April,10178
Jamie,10173
Lynette,10128
Willie,10059
Rosie,10012
Cecilia,9982
Alicia,9888
Jayne,9801
Jeannie,9792
Ida,9761
Maxine,9736
Alma,9636
Lillie,9623
Darla,9598
Miriam,9545
Gale,9479
Cathleen,9464
Laurel,9439
Irma,9432
Therese,9330
Dora,9286
Joni,9217
Hazel,9135
Cheri,9088
Lou,9084
Antoinette,9044
Crystal,9015
Ginger,9013
Lucinda,8988
Caroline,8986
Nadine,8978
Lana,8933
Iris,8871
Jeannette,8867
Shelly,8797
Jenny,8702
Dale,8640
Luann,8621
Robyn,8603
Stella,8589
Lauren,8471
Trudy,8347
Rosemarie,8122
Tanya,7914
Christy,7858
Cassandra,7693
Jessie,7653
Jennie,7587
Naomi,7493
Marguerite,7434
Jeri,7332
Terrie,7161
Harriet,7130
Jana,7084
Kathie,7066
Faith,6958
Cecelia,6898
Rochelle,6884
Velma,6861
Ronda,6854
Rosalie,6790
Gwen,6779
Dixie,6769
Celeste,6667
Lorna,6649
Mattie,6621
Marcella,6617
Deloris,6593
Natalie,6567
Shari,6460
Molly,6457
Kerry,6440
Chris,6371
Lora,6304
Hilda,6301
Adrienne,6295
Susanne,6294
Madeline,6268
Alison,6215
Johnnie,6185
Geneva,6176
Verna,6160
Yvette,6115
Olivia,6105
Shannon,6098
Janette,6097
Gretchen,6094
Candice,6054
Della,6038
Leah,5960
Janine,5956
Bessie,5942
Minnie,5933
Cherie,5930
Tami,5898
Margo,5886
Rosanne,5882
Cora,5869
Sonia,5865
Guadalupe,5778
Laverne,5772
Karin,5767
Lena,5733
Candy,5716
Olga,5661
Ernestine,5655
Gay,5653
Leona,5641
Agnes,5602
Celia,5600
Bridget,5564
Heather,5550
Lola,5542
Mae,5540
Amanda,5473
Margarita,5451
Sheree,5409
Nanette,5397
Viola,5386
Nellie,5359
Elsie,5357
Rosalind,5332
Jodi,5289
Katie,5257
Pat,5256
Kristi,5210
Amelia,5189
Noreen,5187
Corinne,5185
Tracey,5158
Joanna,5151
Daisy,5100
Polly,5067
Hope,5008
Sabrina,4910
Alberta,4897
Camille,4884
Kathi,4862
Stacy,4841
Kristin,4835
Jolene,4820
Freda,4777
Penelope,4758
Pearl,4757
Helene,4740
Rene,4733
Unknown,4724
Tonya,4696
Glenna,4684
Jeanine,4632
Diann,4627
Sonja,4616
Stacey,4615
Delia,4589
Lenora,4586
Jessica,4560
Allison,4555
Eunice,4494
Debby,4460
Hattie,4449
Rena,4430
Flora,4409
Erin,4383
Lorrie,4335
Dee,4326
Christie,4323
Mindy,4322
Ada,4305
Jeannine,4285
Jeanie,4284
Sondra,4269
Ava,4237
Jerri,4214
Claudette,4192
Myrna,4185
Marta,4162
Violet,4150
Luanne,4148
Reba,4139
Roseann,4110
